ensembl_gene_id	gene_symbol	gene_type
ENSG00000134419	RPS15A	ribosomal
ENSG00000103494	RPGRIP1L	ribosomal
ENSG00000167526	RPL13	ribosomal
ENSG00000181031	RPH3AL	ribosomal
ENSG00000132383	RPA1	ribosomal
ENSG00000129197	RPAIN	ribosomal
ENSG00000161970	RPL26	ribosomal
ENSG00000198242	RPL23A	ribosomal
ENSG00000125691	RPL23	ribosomal
ENSG00000108298	RPL19	ribosomal
ENSG00000131469	RPL27	ribosomal
ENSG00000179673	RPRML	ribosomal
ENSG00000108443	RPS6KB1	ribosomal
ENSG00000172809	RPL38	ribosomal
ENSG00000141564	RPTOR	ribosomal
ENSG00000141425	RPRD1A	ribosomal
ENSG00000215472	RPL17-C18orf32	ribosomal
ENSG00000265681	RPL17	ribosomal
ENSG00000118705	RPN2	ribosomal
ENSG00000101413	RPRD1B	ribosomal
ENSG00000171858	RPS21	ribosomal
ENSG00000115268	RPS15	ribosomal
ENSG00000130255	RPL36	ribosomal
ENSG00000233927	RPS28	ribosomal
ENSG00000105640	RPL18A	ribosomal
ENSG00000105193	RPS16	ribosomal
ENSG00000105372	RPS19	ribosomal
ENSG00000063177	RPL18	ribosomal
ENSG00000142541	RPL13A	ribosomal
ENSG00000142534	RPS11	ribosomal
ENSG00000170889	RPS9	ribosomal
ENSG00000108107	RPL28	ribosomal
ENSG00000083845	RPS5	ribosomal
ENSG00000129824	RPS4Y1	ribosomal
ENSG00000280969	RPS4Y2	ribosomal
ENSG00000100316	RPL3	ribosomal
ENSG00000187051	RPS19BP1	ribosomal
